,vx,vy,heading,x,y,ax,ay
81,0.0,0.0,90.1980149324148,0.0,0.0,0.0,0.0
82,0.0,0.0,90.18811397513971,0.0,0.0,0.0,0.0
83,0.0,0.0,90.17821303649146,0.0,0.0,0.0,0.0
84,0.0,0.0,90.16831211706125,0.0,0.0,0.0,0.0
85,0.0,0.0,90.15841121744037,0.0,0.0,0.0,0.0
86,0.0,0.0,90.14851033822004,0.0,0.0,0.0,0.0
87,0.0,0.0,90.13860947999147,0.0,0.0,0.0,0.0
88,0.0,0.0,90.12870864334593,0.0,0.0,0.0,0.0
89,0.0,0.0,90.11880782887462,0.0,0.0,0.0,0.0
90,0.0,0.0,90.10890703716873,0.0,0.0,0.0,0.0
91,0.0,0.0,90.09900626881948,0.0,0.0,0.0,0.0
92,0.0,0.0,90.08910552441807,0.0,0.0,0.0,0.0
93,0.0,0.0,90.07920480455566,0.0,0.0,0.0,0.0
94,0.0,0.0,90.06930410982343,0.0,0.0,0.0,0.0
95,0.0,0.0,90.05940344081257,0.0,0.0,0.0,0.0
96,0.0,0.0,90.04950279811423,0.0,0.0,0.0,0.0
97,0.0,0.0,90.03960218231954,0.0,0.0,0.0,0.0
98,0.0,0.0,90.02970159401966,0.0,0.0,0.0,0.0
99,0.0,0.0,90.01980103380568,0.0,0.0,0.0,0.0
100,0.0,0.0,90.00990050226876,0.0,0.0,-0.0004645905,-0.026616307
101,-0.001858362,-0.10646523,90.0,-0.001858362,-0.10646523,-0.00046459172,-0.07985703
102,-4.89539e-09,-0.2129629,89.0,-0.0018583669,-0.31942812,0.0018583474,-0.10647335
103,0.0055750324,-0.31939572,88.0,0.0037166656,-0.63882387,0.03688199,-0.1558268
104,0.14009456,-0.6233396,76.33333333333333,0.14381123,-1.2621634,0.13234885,-0.24104477
105,0.39487585,-0.87319815,64.66666666666667,0.5386871,-2.1353617,0.25006622,-0.24105161
106,0.7510586,-1.0337436,53.0,1.2897457,-3.1691053,0.24765152,-0.066981494
107,0.7745179,-0.7307201,42.333333333333336,2.0642636,-3.8998253,0.08642333,0.17910856
108,0.71710986,-0.45978743,31.66666666666667,2.7813735,-4.359613,-0.054024845,0.26633608
109,0.59236723,-0.2393319,21.0,3.3737407,-4.5989447,-0.12608726,0.19790526
110,0.39491147,-0.1595546,21.0,3.7686522,-4.758499,-0.17927748,0.11494686
111,0.19745573,-0.0797773,21.0,3.9661078,-4.8382764,-0.19745573,0.0797773
112,0.0,0.0,21.0,3.9661078,-4.8382764,-0.1480918,0.059832975
113,0.0,0.0,18.06253018247417,3.9661078,-4.8382764,-0.049363934,0.019944325
114,0.0,0.0,15.038040301954036,3.9661078,-4.8382764,0.0,0.0
115,0.0,0.0,11.940135795185006,3.9661078,-4.8382764,0.026233116,-0.004524074
116,0.104932465,-0.018096296,8.784790454255921,4.07104,-4.856373,0.079122074,-0.010634137
117,0.21155582,-0.024440255,5.5899542562999445,4.282596,-4.880813,0.10637841,-0.0062874756
118,0.31889027,-0.018805943,2.3749999999999876,4.601486,-4.899619,0.064489104,0.00575419
119,0.25555444,-0.00071384804,-0.8399542562999727,4.8570404,-4.900333,-0.020873468,0.013169907
120,0.19139779,0.010147275,-4.034790454255948,5.048438,-4.890186,-0.06400355,0.010861277
121,0.12703273,0.013778041,-7.1901357951850295,5.175471,-4.8764076,-0.06421706,0.003664034
122,0.063051246,0.0103115225,-10.288040301954062,5.238522,-4.866096,-0.063844815,-0.0034034485
